Designator,Footprint,Mid X (mm),Mid Y (mm),Ref X (mm),Ref Y (mm),Pad X (mm),Pad Y (mm),Layer,Rotation,Comment
U1,BGA-1700_45x37,125.00,120.00,125.00,120.00,125.00,120.00,TopLayer,0,CPU_INTEL_I9_14900HX
U2,BGA-2400_55x45,225.00,120.00,225.00,120.00,225.00,120.00,TopLayer,0,GPU_NVIDIA_ADA5090M
U3,BGA-2000_60x50,175.00,170.00,175.00,170.00,175.00,170.00,TopLayer,90,GPU_NANOWIRE_AI_QUANTUM
U4,BGA-800_20x20,175.00,70.00,175.00,70.00,175.00,70.00,TopLayer,0,NPU_INTEL_TOPS45
M1,DIMM-288_133x31,90.00,215.00,90.00,215.00,90.00,215.00,TopLayer,0,MEMORY_DDR5X_MICRON_SLOT0
M2,DIMM-288_133x31,140.00,215.00,140.00,215.00,140.00,215.00,TopLayer,0,MEMORY_DDR5X_MICRON_SLOT1
M3,DIMM-288_133x31,210.00,215.00,210.00,215.00,210.00,215.00,TopLayer,0,MEMORY_DDR5X_MICRON_SLOT2
M4,DIMM-288_133x31,260.00,215.00,260.00,215.00,260.00,215.00,TopLayer,0,MEMORY_DDR5X_MICRON_SLOT3
M5,STACKED-BGA_40x40,225.00,155.00,225.00,155.00,225.00,155.00,TopLayer,0,MEMORY_HBM3_STACK
SSD1,M2-2280_80x22,60.00,25.00,60.00,25.00,60.00,25.00,TopLayer,0,NVMe_GEN5_SSD_SLOT1
SSD2,M2-2280_80x22,150.00,25.00,150.00,25.00,150.00,25.00,TopLayer,0,NVMe_GEN5_SSD_SLOT2
SD1,MICROSD-IND_32x24,340.00,45.00,340.00,45.00,340.00,45.00,TopLayer,270,INDUSTRIAL_SD_CARD
SD2,SD-EXPRESS-8.0_32x24,345.00,45.00,345.00,45.00,345.00,45.00,TopLayer,270,SD_EXPRESS_SLOT
OPT1,SLIM-SATA-13P_128x13,10.00,90.00,10.00,90.00,10.00,90.00,TopLayer,90,BLU_RAY_BWD_DRIVE
DISP1,MICROLED-16UHD_355x220,180.00,125.00,180.00,125.00,180.00,125.00,TopLayer,0,DISPLAY_MICROLED
CAM1,MODULE-8K-LASER_10x7,180.00,245.00,180.00,245.00,180.00,245.00,TopLayer,0,CAMERA_8K_LASER_GUIDED
CAM2,BGA-CAM-CTRL_8x8,165.00,240.00,165.00,240.00,165.00,240.00,TopLayer,0,CAMERA_CONTROLLER
CAM3,DFN-IR-SYNC_5x5,195.00,245.00,195.00,245.00,195.00,245.00,TopLayer,0,CAMERA_INFRARED_SENSOR
MIC1,PDM-ARRAY_20x5,180.00,240.00,180.00,240.00,180.00,240.00,TopLayer,0,CAMERA_MICROPHONE_ARRAY
DAC1,QFN-64_9x9,35.00,35.00,35.00,35.00,35.00,35.00,BottomLayer,0,DAC_ESS_SABRE_ES9039PRO
AMP1,SIP-CUSTOM_THX,20.00,25.00,20.00,25.00,20.00,25.00,BottomLayer,0,AMP_THX_AAA888
DSP1,BGA-256_FPGA_14x14,50.00,45.00,50.00,45.00,50.00,45.00,BottomLayer,0,DSP_DIRAC_LIVE
OSC1,SMD-14x9,48.00,25.00,48.00,25.00,48.00,25.00,BottomLayer,0,OSCILLATOR_AUDIO_PRIMARY
OSC2,SMD-14x9,58.00,25.00,58.00,25.00,58.00,25.00,BottomLayer,0,OSCILLATOR_AUDIO_SECONDARY
SPK1,TUNED-CHAMBER_40x15,15.00,15.00,15.00,15.00,15.00,15.00,TopLayer,0,AUDIO_SPEAKER_STEREO_LEFT
SPK2,TUNED-CHAMBER_40x15,335.00,15.00,335.00,15.00,335.00,15.00,TopLayer,0,AUDIO_SPEAKER_STEREO_RIGHT
SUB1,BMR-TRANSDUCER_60x30,175.00,25.00,175.00,25.00,175.00,25.00,TopLayer,0,AUDIO_SUB_BASS_TRANSDUCER
J1,TH-SHIELD-GOLD_6x6,5.00,15.00,5.00,15.00,5.00,15.00,TopLayer,90,AUDIO_JACK_3.5MM
MOD1,M2-3052-KEYB,320.00,140.00,320.00,140.00,320.00,140.00,TopLayer,270,WWAN_MODULE_QUALCOMM_X90
SIM1,SIM-CAGE-3052,345.00,140.00,345.00,140.00,345.00,140.00,TopLayer,270,NANO_SIM_SLOT
ANT1,RF-CONN-DUAL_MOLEX,350.00,120.00,350.00,120.00,350.00,120.00,TopLayer,270,WWAN_ANTENNA_1
ANT2,RF-CONN-DUAL_MOLEX,350.00,160.00,350.00,160.00,350.00,160.00,TopLayer,270,WWAN_ANTENNA_2
WLAN1,M2-2230,320.00,85.00,320.00,85.00,320.00,85.00,TopLayer,270,WIFI7_BT_QUALCOMM_FASTCONNECT
NFC1,QFN-32_5x5,320.00,60.00,320.00,60.00,320.00,60.00,TopLayer,270,NFC_MODULE_HP
OPT_CAGE1,QSFP-DD-CAGE_72x18,345.00,195.00,345.00,195.00,345.00,195.00,TopLayer,270,QSFP_DD_PORT_MOLEX
ETH1,RJ45-SLIM-SHIELD_16x14,345.00,165.00,345.00,165.00,345.00,165.00,TopLayer,270,ETHERNET_PORT_CAT8[cite: 8]
